category,input_gt,raw_output,any_ext,confirmed_ext,n_items,n_attr_pairs,n_output_known_attr_pairs
Health,0.0,0.10553571428571429,0.19922619047619047,0.07738095238095238,800,16800,16800
Social,0.06787082649151614,0.1956455634616554,0.16499422246548684,0.06878306878306878,783,16443,16443
Photo/Camera,0.24037314242325633,0.3769389304696822,0.17865278229742923,0.04946306540839571,878,18438,18438
Finance,0.08436544703917305,0.11348523525889509,0.11947307049888121,0.04475118968831742,1511,31731,31731
Education,0.037685272784610535,0.13459476505834123,0.12872910753705455,0.03525701671397036,1510,31710,31710
Productivity,0.15013322402131585,0.25476532076245134,0.08690305390448863,0.007856801257088201,1394,29274,29274
